ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
cpu:customhandler, rand-calls, , Accumulator, 8814312897, 0, 262559, 262559, 262559, 1, 1
cpu:customhandler, cycles-busy, , Accumulator, 8814312897, 0, 21137441, 21137441, 21137441, 1, 1
cpu, cycles, , Accumulator, 8814312897, 0, 21137441, 21137441, 21137441, 1, 1
cpu, instructions, , Accumulator, 8814312897, 0, 3539813, 3539813, 3539813, 1, 1
cpu, mem-reads, , Accumulator, 8814312897, 0, 262150, 262150, 262150, 1, 1
cpu, mem-writes, , Accumulator, 8814312897, 0, 393219, 393219, 393219, 1, 1
l1cache, prefetch_opportunities, , Accumulator, 8814312897, 0, 201395, 201395, 201395, 1, 1
l1cache, prefetches_issued, , Accumulator, 8814312897, 0, 73672, 73672, 73672, 1, 1
l1cache, prefetches_canceled_by_page_boundary, , Accumulator, 8814312897, 0, 3177, 3177, 3177, 1, 1
l1cache, prefetches_canceled_by_history, , Accumulator, 8814312897, 0, 127723, 127723, 127723, 1, 1
l1cache, Prefetch_requests, , Accumulator, 8814312897, 0, 73672, 73672, 73672, 1, 1
l1cache, Prefetch_drops, , Accumulator, 8814312897, 0, 2, 2, 2, 1, 1
l1cache, TotalEventsReceived, , Accumulator, 8814312897, 0, 952183, 952183, 952183, 1, 1
l1cache, TotalEventsReplayed, , Accumulator, 8814312897, 0, 3, 3, 3, 1, 1
l1cache, TotalNoncacheableEventsReceived, , Accumulator, 8814312897, 0, 0, 0, 0, 0, 0
l1cache, CacheHits, , Accumulator, 8814312897, 0, 505897, 505897, 505897, 1, 1
l1cache, GetSHit_Arrival, , Accumulator, 8814312897, 0, 125988, 125988, 125988, 1, 1
l1cache, GetXHit_Arrival, , Accumulator, 8814312897, 0, 379906, 379906, 379906, 1, 1
l1cache, GetSXHit_Arrival, , Accumulator, 8814312897, 0, 0, 0, 0, 0, 0
l1cache, GetSHit_Blocked, , Accumulator, 8814312897, 0, 3, 3, 3, 1, 1
l1cache, GetXHit_Blocked, , Accumulator, 8814312897, 0, 0, 0, 0, 0, 0
l1cache, GetSXHit_Blocked, , Accumulator, 8814312897, 0, 0, 0, 0, 0, 0
l1cache, CacheMisses, , Accumulator, 8814312897, 0, 223142, 223142, 223142, 1, 1
l1cache, GetSMiss_Arrival, , Accumulator, 8814312897, 0, 209829, 209829, 209829, 1, 1
l1cache, GetXMiss_Arrival, , Accumulator, 8814312897, 0, 13313, 13313, 13313, 1, 1
l1cache, GetSXMiss_Arrival, , Accumulator, 8814312897, 0, 0, 0, 0, 0, 0
l1cache, GetSMiss_Blocked, , Accumulator, 8814312897, 0, 0, 0, 0, 0, 0
l1cache, GetXMiss_Blocked, , Accumulator, 8814312897, 0, 0, 0, 0, 0, 0
l1cache, GetSXMiss_Blocked, , Accumulator, 8814312897, 0, 0, 0, 0, 0, 0
l1cache, GetS_recv, , Accumulator, 8814312897, 0, 335822, 335822, 335822, 1, 1
l1cache, GetX_recv, , Accumulator, 8814312897, 0, 393219, 393219, 393219, 1, 1
